registration_order,var_name,const_name,script_path,system_key,exec_owner,simbridge_offload,simbridge_offload_rule,rust_runtime_impl
1,stat_sync_system,StatSyncSystem,res://scripts/systems/record/stat_sync_system.gd,stat_sync_system,gdscript,yes,simbridge_pattern_scan_v1,yes
2,resource_regen_system,ResourceRegenSystem,res://scripts/systems/world/resource_regen_system.gd,resource_regen_system,gdscript,yes,simbridge_pattern_scan_v1,yes
3,childcare_system,ChildcareSystem,res://scripts/systems/development/childcare_system.gd,childcare_system,gdscript,yes,simbridge_pattern_scan_v1,no
4,job_assignment_system,JobAssignmentSystem,res://scripts/systems/work/job_assignment_system.gd,job_assignment_system,gdscript,yes,simbridge_pattern_scan_v1,yes
5,needs_system,NeedsSystem,res://scripts/systems/psychology/needs_system.gd,needs_system,gdscript,yes,simbridge_pattern_scan_v1,yes
6,stat_threshold_system,StatThresholdSystem,res://scripts/systems/record/stat_threshold_system.gd,stat_threshold_system,gdscript,yes,simbridge_pattern_scan_v1,yes
7,upper_needs_system,UpperNeedsSystem,res://scripts/systems/psychology/upper_needs_system.gd,upper_needs_system,gdscript,yes,simbridge_pattern_scan_v1,yes
8,building_effect_system,BuildingEffectSystem,res://scripts/systems/work/building_effect_system.gd,building_effect_system,gdscript,yes,simbridge_pattern_scan_v1,yes
9,intelligence_system,IntelligenceSystem,res://scripts/systems/cognition/intelligence_system.gd,intelligence_system,gdscript,yes,simbridge_pattern_scan_v1,no
10,memory_system,MemorySystemScript,res://scripts/systems/record/memory_system.gd,memory_system,gdscript,yes,simbridge_pattern_scan_v1,no
11,behavior_system,BehaviorSystem,res://scripts/ai/behavior_system.gd,behavior_system,gdscript,no,simbridge_pattern_scan_v1,no
12,gathering_system,GatheringSystem,res://scripts/systems/work/gathering_system.gd,gathering_system,gdscript,no,simbridge_pattern_scan_v1,no
13,construction_system,ConstructionSystem,res://scripts/systems/work/construction_system.gd,construction_system,gdscript,no,simbridge_pattern_scan_v1,no
14,movement_system,MovementSystem,res://scripts/systems/world/movement_system.gd,movement_system,gdscript,yes,simbridge_pattern_scan_v1,no
15,emotion_system,EmotionSystem,res://scripts/systems/psychology/emotion_system.gd,emotion_system,gdscript,yes,simbridge_pattern_scan_v1,yes
16,child_stress_processor,ChildStressProcessor,res://scripts/systems/development/child_stress_processor.gd,child_stress_processor,gdscript,yes,simbridge_pattern_scan_v1,yes
17,stress_system,StressSystem,res://scripts/systems/psychology/stress_system.gd,stress_system,gdscript,yes,simbridge_pattern_scan_v1,yes
18,mental_break_system,MentalBreakSystem,res://scripts/systems/psychology/mental_break_system.gd,mental_break_system,gdscript,yes,simbridge_pattern_scan_v1,yes
19,occupation_system,OccupationSystem,res://scripts/systems/social/occupation_system.gd,occupation_system,gdscript,yes,simbridge_pattern_scan_v1,yes
20,trauma_scar_system,TraumaScarSystem,res://scripts/systems/psychology/trauma_scar_system.gd,trauma_scar_system,gdscript,yes,simbridge_pattern_scan_v1,yes
21,title_system,TitleSystem,res://scripts/systems/social/title_system.gd,title_system,gdscript,yes,simbridge_pattern_scan_v1,yes
22,trait_violation_system,TraitViolationSystem,res://scripts/systems/psychology/trait_violation_system.gd,trait_violation_system,gdscript,yes,simbridge_pattern_scan_v1,no
23,social_event_system,SocialEventSystem,res://scripts/systems/social/social_event_system.gd,social_event_system,gdscript,yes,simbridge_pattern_scan_v1,yes
24,age_system,AgeSystem,res://scripts/systems/biology/age_system.gd,age_system,gdscript,yes,simbridge_pattern_scan_v1,no
25,mortality_system,MortalitySystem,res://scripts/systems/biology/mortality_system.gd,mortality_system,gdscript,yes,simbridge_pattern_scan_v1,no
26,population_system,PopulationSystem,res://scripts/systems/biology/population_system.gd,population_system,gdscript,yes,simbridge_pattern_scan_v1,yes
27,family_system,FamilySystem,res://scripts/systems/social/family_system.gd,family_system,gdscript,yes,simbridge_pattern_scan_v1,yes
28,leader_system,LeaderSystem,res://scripts/systems/social/leader_system.gd,leader_system,gdscript,yes,simbridge_pattern_scan_v1,yes
29,value_system,ValueSystem,res://scripts/systems/social/value_system.gd,value_system,gdscript,yes,simbridge_pattern_scan_v1,yes
30,network_system,NetworkSystemScript,res://scripts/systems/social/network_system.gd,network_system,gdscript,yes,simbridge_pattern_scan_v1,yes
31,migration_system,MigrationSystem,res://scripts/systems/world/migration_system.gd,migration_system,gdscript,yes,simbridge_pattern_scan_v1,yes
32,tech_discovery_system,TechDiscoverySystemScript,res://scripts/systems/world/tech_discovery_system.gd,tech_discovery_system,gdscript,yes,simbridge_pattern_scan_v1,no
33,tech_maintenance_system,TechMaintenanceSystemScript,res://scripts/systems/world/tech_maintenance_system.gd,tech_maintenance_system,gdscript,yes,simbridge_pattern_scan_v1,no
34,tech_propagation_system,TechPropagationSystemScript,res://scripts/systems/world/tech_propagation_system.gd,tech_propagation_system,gdscript,yes,simbridge_pattern_scan_v1,no
35,tension_system,TensionSystemScript,res://scripts/systems/world/tension_system.gd,tension_system,gdscript,yes,simbridge_pattern_scan_v1,no
36,tech_utilization_system,TechUtilizationSystemScript,res://scripts/systems/world/tech_utilization_system.gd,tech_utilization_system,gdscript,yes,simbridge_pattern_scan_v1,no
37,stratification_monitor,StratificationMonitor,res://scripts/systems/social/stratification_monitor.gd,stratification_monitor,gdscript,yes,simbridge_pattern_scan_v1,no
38,stats_recorder,StatsRecorder,res://scripts/systems/record/stats_recorder.gd,stats_recorder,gdscript,yes,simbridge_pattern_scan_v1,yes
39,contagion_system,ContagionSystem,res://scripts/systems/psychology/contagion_system.gd,contagion_system,gdscript,yes,simbridge_pattern_scan_v1,no
40,reputation_system,ReputationSystem,res://scripts/systems/social/reputation_system.gd,reputation_system,gdscript,yes,simbridge_pattern_scan_v1,no
41,economic_tendency_system,EconomicTendencySystem,res://scripts/systems/social/economic_tendency_system.gd,economic_tendency_system,gdscript,yes,simbridge_pattern_scan_v1,no
42,morale_system,MoraleSystem,res://scripts/systems/psychology/morale_system.gd,morale_system,gdscript,yes,simbridge_pattern_scan_v1,no
43,job_satisfaction_system,JobSatisfactionSystem,res://scripts/systems/social/job_satisfaction_system.gd,job_satisfaction_system,gdscript,yes,simbridge_pattern_scan_v1,no
44,coping_system,CopingSystem,res://scripts/systems/psychology/coping_system.gd,coping_system,gdscript,yes,simbridge_pattern_scan_v1,no
45,intergenerational_system,IntergenerationalSystem,res://scripts/systems/development/intergenerational_system.gd,intergenerational_system,gdscript,yes,simbridge_pattern_scan_v1,no
46,parenting_system,ParentingSystem,res://scripts/systems/development/parenting_system.gd,parenting_system,gdscript,yes,simbridge_pattern_scan_v1,no
