=== SUSPECTED HANG CAPTURE 2026-06-15T01:04:50Z elapsed=121s node-claude-pid=42587 ===
log_bytes=       0 deadline=1800s
--- ps -ef ---
  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  7 6월26 ??        95:03.46 /sbin/launchd
  501   252 18237   0  9:42오전 ??         0:00.01 /Applications/Codex.app/Contents/Resources/node_repl
  501   254   252   0  9:42오전 ??         0:00.10 /Applications/Codex.app/Contents/Resources/codex app-server --listen stdio://
  501   258 18237   0  9:42오전 ??         0:00.09 node /Users/rexxa/.codex/plugins/cache/sisyphuslabs/omo/4.9.2/mcp/lsp/dist/cli.js mcp
  501   275     1   0 금02오전 ??         7:57.50 /usr/libexec/spotlightknowledged.updater -u
    0   318     1   0  7 6월26 ??        58:47.90 /usr/libexec/logd
    0   320     1   0  7 6월26 ??         3:14.01 /usr/libexec/UserEventAgent (System)
    0   322     1   0  7 6월26 ??        32:01.37 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   323     1   0  7 6월26 ??         0:27.23 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   326     1   0  7 6월26 ??         0:47.08 /usr/sbin/systemstats --daemon
    0   330     1   0  7 6월26 ??         1:59.73 /usr/libexec/configd
    0   332     1   0  7 6월26 ??         2:53.28 /System/Library/CoreServices/powerd.bundle/powerd
    0   333     1   0  7 6월26 ??         0:00.13 /usr/libexec/IOMFB_bics_daemon
    0   337     1   0  7 6월26 ??         0:01.64 /usr/libexec/remoted
  306   341     1   0  7 6월26 ??         0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
    0   343     1   0  7 6월26 ??         0:15.75 /usr/libexec/watchdogd
    0   347     1   0  7 6월26 ??        45:56.00 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
    0   349     1   0  7 6월26 ??         0:01.18 /usr/libexec/kernelmanagerd
    0   350     1   0  7 6월26 ??         7:19.19 /usr/libexec/diskarbitrationd
    0   354     1   0  7 6월26 ??         9:39.10 /usr/sbin/syslogd
    0   356     1   0  7 6월26 ??         1:15.59 /usr/libexec/thermalmonitord
    0   357     1   0  7 6월26 ??         4:28.85 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   358     1   0  7 6월26 ??        15:08.77 /usr/libexec/xprotectd
    0   359     1   0  7 6월26 ??        47:35.94 /usr/libexec/opendirectoryd
    0   360     1   0  7 6월26 ??         2:08.86 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   361     1   0  7 6월26 ??        78:59.67 /System/Library/CoreServices/launchservicesd
  266   362     1   0  7 6월26 ??         0:06.92 /usr/libexec/timed
  213   363     1   0  7 6월26 ??         0:01.63 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   364     1   0  7 6월26 ??         2:38.82 /usr/sbin/securityd -i
  205   366     1   0  7 6월26 ??         5:41.57 /usr/libexec/locationd
    0   367     1   0  7 6월26 ??         0:09.90 /usr/libexec/nesessionmanager
    0   369     1   0  7 6월26 ??         0:01.11 autofsd
    0   370     1   0  7 6월26 ??        15:58.42 /usr/libexec/dasd
    0   371     1   0  7 6월26 ??         0:00.21 /usr/libexec/corerepaird
  241   373     1   0  7 6월26 ??         1:53.94 /usr/sbin/distnoted daemon
    0   377     1   0  7 6월26 ??         0:03.18 /System/Library/CoreServices/logind
    0   378     1   0  7 6월26 ??         0:01.92 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   379     1   0  7 6월26 ??         0:00.60 /usr/sbin/KernelEventAgent
    0   383     1   0  7 6월26 ??         7:08.26 /usr/sbin/bluetoothd
